Title,Requests,Artist,Track
Helge Schneider - Bonbon aus Wurst,29,Helge Schneider ,Bonbon aus Wurst
Partyhelden - Dini Seel ä chli la bambälä la,21,Partyhelden ,Dini Seel ä chli la bambälä la
"Eure Mütter - Auweia, Shania! - Live",15,Eure Mütter ,"Auweia, Shania! - Live"
Too Bit To Fail - Feuer über Fiat,12,Too Bit To Fail ,Feuer über Fiat
Alberto Colucci - Die Sonne scheint: Tor Lilien vor - Kultversion,11,Alberto Colucci ,Die Sonne scheint: Tor Lilien vor - Kultversion
Deichkind - Drucker,9,Deichkind ,Drucker
Ronny Trettmann - Birnenpfeffi mit Zimt,8,Ronny Trettmann ,Birnenpfeffi mit Zimt
Mehnersmoos - 3 Uhr Nachts,6,Mehnersmoos ,3 Uhr Nachts
"Die Kassierer - Das schlimmste ist, wenn das Bier alle ist",6,Die Kassierer ,"Das schlimmste ist, wenn das Bier alle ist"
Marteria - El Presidente,6,Marteria ,El Presidente
Manuel Straube - Eichhörnchen in der Hose,5,Manuel Straube ,Eichhörnchen in der Hose
Rick Astley - Never Gonna Give You Up,5,Rick Astley ,Never Gonna Give You Up
Vitas - 7 элемент,4,Vitas ,7 элемент
Killermichel - Alles wegen Schwänzen,4,Killermichel ,Alles wegen Schwänzen
Torfrock - Beinhart,4,Torfrock ,Beinhart
Systemabsturz - Daten daten Daten,4,Systemabsturz ,Daten daten Daten
Nana Mouskouri - Guten Morgen Sonnenschein,4,Nana Mouskouri ,Guten Morgen Sonnenschein
Loituma - Ieva's Polka (Ievan Polkka) - Original Acapella,4,Loituma ,Ieva's Polka (Ievan Polkka) - Original Acapella
DJ Robin - Layla,4,DJ Robin ,Layla
Johnny Barrett - Ode to Satoshi,4,Johnny Barrett ,Ode to Satoshi
Jennifer Rush - Ring of Ice - Stereoact Remix,4,Jennifer Rush ,Ring of Ice - Stereoact Remix
Europe - The Final Countdown,4,Europe ,The Final Countdown
Steve ´n´ Seagulls - Thunderstruck,4,Steve ´n´ Seagulls ,Thunderstruck
